purchase_event_id,item_id
61255,4
9682,4
10827,4
10827,13
15432,21
49728,17
34559,12
15486,22
39413,2
55807,16
7788,7
7788,8
9777,11
15068,7
23789,4
29991,1
61104,18
11034,4
14724,7
12595,17
16097,6
21685,6
21685,8
21685,18
39233,16
48609,7
54504,2
36026,22
17584,6
58982,22
58310,19
49580,24
60478,6
57297,7
57297,18
43562,18
46300,24
18309,2
18309,7
21533,6
5515,18
61447,21
60231,6
28721,13
28721,16
52611,7
52611,8
22899,13
46802,4
26066,18
46131,11
39259,16
21789,8
31842,24
61450,24
13759,4
53159,8
13049,8
13049,18
47967,8
10085,1
5519,21
44698,7
41841,15
23358,21
23358,24
14061,16
38466,5
42757,24
29914,2
12036,4
2669,4
5259,18
50958,18
6525,24
13442,22
48084,6
48084,7
58404,24
39101,8
39101,18
60693,7
7710,24
21209,4
46811,13
46811,17
41864,21
1508,4
11825,22
46718,1
40646,14
57700,19
32372,4
61097,18
57502,4
57367,4
799,4
34299,16
13204,8
20904,8
2557,4
47981,7
1422,7
19173,14
33058,8
49747,19
831,17
28780,1
28780,13
8259,18
18862,5
54039,22
26532,24
61572,18
45567,7
45567,18
46677,12
46677,13
46677,16
40424,4
8666,6
1413,4
48255,6
48255,7
16107,19
52593,11
25609,4
57260,4
25904,6
29193,4
13674,18
15397,6
22664,16
59651,6
59651,8
5827,18
58271,16
58271,17
9732,7
26032,8
19070,4
9713,1
54576,7
4779,7
15332,2
10706,22
33103,24
46413,1
30144,13
2203,21
50045,24
13591,4
23039,8
44155,22
51560,18
54248,7
54248,8
54248,18
36156,18
9557,22
34682,4
7580,18
12065,16
31195,17
34703,12
34703,16
23617,1
30697,13
30697,16
30697,17
54263,11
55632,17
40441,13
32031,18
36482,8
53181,7
37247,8
3563,18
11364,6
11364,7
11364,8
11364,18
16627,22
288,17
19981,18
62041,24
40020,13
57036,16
41144,7
42430,16
42430,17
36993,8
11507,6
11507,7
8354,7
10174,6
30150,15
30150,16
47699,8
27386,4
26764,4
60936,4
55194,19
51356,4
46210,21
1769,18
10026,17
5846,4
2000,18
23788,7
32105,3
32105,24
55918,19
19438,17
45461,11
36730,18
22311,3
25753,4
8374,4
21511,8
49838,1
20100,21
53868,12
53868,15
53868,16
41086,4
16545,18
13740,7
10181,18
47175,8
42975,8
45055,19
585,4
48950,6
31397,18
49490,16
47255,16
12653,17
47973,4
10982,16
42382,22
57340,17
25907,4
22409,14
59010,19
3445,18
60161,8
55645,17
36344,24
4330,5
40160,15
40160,16
40160,17
39519,16
16489,4
31137,22
17320,6
17320,8
17,4
47025,13
50164,4
2472,1
48784,16
58799,1
40147,5
60602,18
60839,4
30382,22
47314,22
32324,22
10007,17
31274,10
52629,8
26649,8
32510,18
29563,18
58578,18
54737,18
3720,1
8284,18
31503,8
29045,4
2314,24
1128,4
62260,13
26326,21
22532,7
17459,8
45261,5
14912,4
49919,4
9699,6
49792,4
16561,13
14123,14
61549,19
47163,15
3392,18
20426,18
12645,7
51063,8
43828,7
43828,18
35875,13
27233,6
38011,21
32096,8
14402,5
52508,4
10329,18
6113,7
24917,1
15889,6
37267,18
49682,17
16389,24
4012,4
14236,13
18526,16
30351,16
34330,17
56405,19
62025,18
53603,22
21263,7
48118,21
22938,4
21205,22
54339,16
11350,13
13582,17
7370,2
7370,8
15912,11
41433,6
41433,7
9802,4
58978,6
18739,17
27044,13
27044,16
55336,18
21021,18
60864,7
23556,11
50260,17
7532,4
19226,2
19226,8
61018,6
39240,7
59271,18
16411,6
27087,4
30183,8
29850,17
35012,8
46377,11
50029,18
52789,18
61653,7
8853,6
55781,18
48933,18
59249,19
12022,4
46714,19
24632,8
52157,2
52157,8
45188,18
20371,2
20371,5
20371,8
16504,17
26775,2
7157,14
42390,8
31884,7
19827,11
44897,18
59114,6
26941,4
9921,22
18091,10
1442,16
9170,22
53562,8
28077,7
61098,18
50167,13
18889,13
6511,14
37454,18
39047,8
6793,5
61923,4
27171,4
36627,18
41483,6
41483,12
12349,11
14853,18
17916,6
13112,4
23555,13
24798,18
31389,18
27820,18
28630,4
55024,4
51026,6
47207,4
50065,18
18498,16
13288,18
19291,12
16532,8
6762,22
28997,18
50310,15
15855,7
54551,18
53919,19
18995,18
6647,4
6647,16
23607,8
21259,22
55271,18
32642,8
61145,8
44525,24
34024,6
12078,18
5183,17
3275,7
16453,2
18380,17
44417,24
19866,8
12893,18
43431,11
36317,2
36317,8
29779,24
38222,7
11090,10
11090,20
1152,4
46881,4
62081,7
12967,12
49275,4
