user_id,purchase_event_id,event_number,conversation_id,session_id
1,9218,1,3596.0,
2,30170,1,,66406.0
2,30170,2,,60803.0
2,31357,1,,66406.0
2,31357,2,,60803.0
2,31357,3,11447.0,
2,31357,4,11898.0,
2,31357,5,,62899.0
3,3937,1,,10004.0
3,61541,1,,120398.0
4,26679,1,,53081.0
4,26679,2,,53078.0
4,26679,3,,52652.0
4,26679,4,,53416.0
4,26679,5,,53368.0
4,26679,6,10272.0,
4,43945,1,,88798.0
5,14204,1,,31767.0
6,27488,1,,56914.0
7,3913,1,,9723.0
7,3913,2,,10311.0
7,3913,3,,10318.0
7,3913,4,,10324.0
8,44007,1,17418.0,
8,44007,2,,86430.0
8,44007,3,,85800.0
8,44007,4,17947.0,
9,51516,1,21530.0,
10,39986,1,,80968.0
10,39986,2,,81841.0
11,51442,1,,102132.0
11,51442,2,,102927.0
11,51442,3,,102578.0
12,45248,1,,87495.0
12,45248,2,18697.0,
13,5075,1,,12313.0
13,52924,1,,105484.0
14,49138,1,,93833.0
14,49138,2,20416.0,
14,56299,1,23623.0,
15,26908,1,,55973.0
16,38403,1,,77808.0
17,49627,1,20566.0,
18,26251,1,,53916.0
18,47506,1,19881.0,
19,42481,1,,86774.0
20,5998,1,,14911.0
21,43111,1,,81047.0
21,43111,2,,85614.0
22,31923,1,,63041.0
22,31923,2,,63139.0
22,31923,3,,63379.0
22,31923,4,,63687.0
22,31923,5,,64580.0
23,59224,1,24461.0,
24,8691,1,,16529.0
24,8691,2,,19965.0
25,26239,1,,54230.0
26,45407,1,,91009.0
26,45407,2,,91272.0
26,45407,3,18775.0,
26,45407,4,,91934.0
27,5949,1,,13030.0
27,5949,2,,13755.0
27,5949,3,,13556.0
27,5949,4,,14587.0
28,29301,1,,59364.0
29,37612,1,,76478.0
30,21448,1,,45476.0
31,60944,1,25327.0,
32,4398,1,,9785.0
32,4398,2,,10854.0
32,4398,3,,11694.0
33,36780,1,,74477.0
34,10022,1,3895.0,
35,29296,1,,54784.0
